station_id,longitude,latitude,air_temperature_c,wind_speed_east_knots,wind_speed_north_knots
0F2,-97.7755999999958,33.601699999999354,4.307983310152982,-0.20970681862777354,-0.7388536324966557
11R,-96.37419999999814,30.218899999999856,8.690950394065856,0.15550329251025688,1.7293995487848564
2F5,-101.90179999999891,32.747900000000826,3.9263403263403265,-0.6481983212774857,-2.120885320439388
3T5,-96.94999999999979,29.91000000000095,8.471493589743575,0.18352985949861852,0.9813192071556488
5C1,-98.69459999999653,29.723899999998977,6.435611343561134,0.18569867400173554,0.7728383647278024
5T9,-100.51350000000079,28.85710000000062,9.124194493263035,1.2269245115724146,0.4495036580690064
66R,-96.51579999999595,29.641100000000623,8.490753488372098,-2.5417425446537423,1.8517288002365497
6P9,-98.59479999999851,32.431700000000674,5.477713754646839,-1.2766789634550204,-1.716668817661839
6R3,-95.00800000000149,30.35639999999867,7.550519480519477,-0.021427404674285763,1.0533955846044183
6R6,-102.21289999999904,30.04599999999985,7.592919132149902,1.432109601085642,2.569437111146626
ABI,-99.68189999999333,32.41130000000301,5.309865410497981,-0.45155957238626226,-3.2256215546086047
ACT,-97.22829999998628,31.617999999996904,6.700153846153854,-0.2714665090897193,-0.704055686683476
ADS,-96.83640000000013,32.96860000000014,5.693420608108105,0.5571681134412826,-0.694351469981316
AFW,-97.31790000001547,32.97159999999499,5.972132450331128,-0.31019224336461027,-0.9403783913423578
ALI,-98.0269000000219,27.740900000002913,11.570989643268108,1.5925097944565283,2.938334616836108
AMA,-101.70589999997588,35.21940000000167,2.6240189445196207,-2.628283120344744,-3.501161814683395
APY,-99.24890000000383,26.96880000000073,11.42361473880599,0.25454858555021964,0.909682527019162
AQO,-98.66190000000411,30.783600000000973,7.928501945525292,0.009643244899239335,-0.11281774922890841
ARM,-96.15439999999948,29.25430000000042,9.04186654223053,0.6951406244783708,2.085851356603402
ASL,-94.30780000000163,32.52049999999908,5.344163385826783,-0.4289209362472942,0.3365130007266566
ATT,-97.7600999999996,30.320800000000073,8.966940063091483,-0.022322078999141154,1.054241572286495
AUS,-97.6698999999865,30.194500000005192,8.057947103274547,0.10613685332316672,0.7091068830722838
AXH,-95.47690000000001,29.506099999999165,10.790286041189965,0.9588412484522524,1.2801037073188324
BAZ,-98.04500000001119,29.709000000002163,9.467647679324896,0.8911790032146489,1.2887305952544061
BBF,-96.0139999999976,27.832999999999178,15.029567053854276,6.376720123004069,2.78989221965794
BEA,-97.7909999999979,28.36190000000157,10.388544862854525,1.9413107950434005,2.7249953274854413
BGD,-101.39370000000899,35.70089999999727,4.0681741573033685,-2.5025828703304307,-3.0034555586140765
BIF,-106.3799999999998,31.849500000000198,6.595733695652169,-1.4534476477825948,0.16217716636231
BKD,-98.89100000000265,32.71899999999883,7.4242489711934105,-0.7367086303251795,-3.551872059397151
BKS,-98.1210999999967,27.20670000000083,12.158947124304314,0.5285377500186433,1.6796817626400455
BMQ,-98.23860000000973,30.73889999999712,7.78763812154694,0.27011184897066154,0.3402342063816434
BMT,-94.21510000000113,30.07020000000055,8.822175324675339,0.9303082600994164,2.2928998031855756
BPC,-101.03010000000303,35.88930000000019,2.586734693877551,-2.2368622497933415,-1.5792137334649758
BPG,-101.52160000000077,32.21259999999926,5.218321743161791,0.7538238562117211,-3.0667910864805137
BPT,-94.02000000001144,29.950000000004984,9.784866962305962,1.9233122086784795,2.5772425986770178
BQX,-95.724400000004,28.493600000001095,13.333333333333334,4.55302697797414,5.8004249336678875
BRO,-97.42310000001217,25.914599999996387,14.906866902237919,0.5094858795089944,1.8880418490387436
BWD,-98.95650000000022,31.793599999999426,5.474829086389062,0.35553745178975427,-0.674054443142397
BYY,-95.86340000000155,28.973299999999302,10.31415420560748,1.6055148275051552,1.99897153740869
CDS,-100.28810000000479,34.433900000003256,3.99400837988827,-0.5428568051754965,-1.620809254831114
CFD,-96.33139999999726,30.71570000000056,7.319938938468771,0.17476394935161008,0.9396133617924419
CLL,-96.36389999999679,30.588099999995297,9.093337292161529,0.8918096107454825,0.8854804105956974
CNW,-97.07409999999983,31.63780000000031,8.063492063492063,-0.6013290867281346,0.47835439900927834
COM,-99.40359999999787,31.841099999999308,6.152358851674653,-1.0728750272032148,-0.6482970626474291
COT,-99.2182999999806,28.45670000000337,10.248321513002367,2.321019613566537,0.9137729607353906
CPT,-97.433799999999,32.35369999999976,5.872184133202742,-0.12716125598573844,-0.7710076698890724
CRP,-97.51280000001763,27.773099999996873,11.584773242630373,2.6656632103207762,3.6740524444492597
CRS,-96.4000000000152,32.030000000002154,7.498644470868012,0.24758103301859244,-0.47978279529049334
CVB,-98.85089999999757,29.341899999999534,8.963880317905593,0.2754009230291307,1.2170147239382487
CWC,-98.4904000000022,33.85779999999924,5.130740561471451,0.3624988218665854,-1.2194818170297894
CXO,-95.41449999998899,30.352400000002074,8.344452296819798,0.5680429355633475,0.6504928352622792
CZT,-99.8236000000028,28.52219999999953,8.63275781614559,0.8517687387160153,0.1743692332824311
DAL,-96.85179999998111,32.84710000000709,7.296208651399483,0.33558462789086,-0.9313240462345609
DFW,-97.03799999997909,32.89679999999418,7.630989717223653,-0.20125834241288224,-0.5526813417356936
DHT,-102.54729999998408,36.022600000003244,1.1573224043715848,-2.845916373073687,-1.6124382646099842
DKR,-95.40380000000003,31.307000000000592,6.281191806331472,0.2472247892931739,0.11995564306760406
DLF,-100.77800000000035,29.359499999999656,8.380447400241831,2.0620502559507763,-0.8804622270490046
DRT,-100.92720000001,29.37419999999782,8.81405438813351,2.015243662751173,-0.46273658060025613
